绊按锅龋,己喊,楷飞措,芭林瘤开,item_7,item_8,item_9,item_10,item_11,item_12,给嘎冕俺岿荐,给嘎冕酒捞袍俺荐,,,,7,8,9,10,11,12
16374,M,20技~24技,540,,0,0,0,,,6,18,,,,,,,,,
16387,F,45技~49技,100,0,,,,,,6,18,,,,,,,,,
16456,F,20技~24技,440,0,0,0,0,0,0,6,18,,,,,,,,,
16487,M,50技~54技,100,0,0,0,0,0,0,6,18,,,,,,,,,
16520,F,40技~44技,100,0,0,0,0,0,0,6,18,,,,,,,,,
16552,F,25技~29技,24,0,0,0,0,0,0,6,18,,,,,,,,,
16583,F,50技~54技,100,0,0,0,,,0,6,18,,,,,,,,,
16615,F,20技~24技,100,,,,,0,0,6,18,,,,,,,,,
16668,F,25技~29技,310,0,0,0,0,0,0,6,18,,,,,,,,,
16700,F,45技~49技,460,,,0,0,,,6,18,,,,,,,,,
16708,M,40技~44技,460,,,,,,0,6,18,,,,,,,,,
16755,F,25技~29技,100,,,,,,,6,18,,,,,,,,,
16821,M,40技~44技,55,,0,0,0,0,,6,18,,,,,,,,,
16985,F,45技~49技,100,0,0,0,0,0,0,6,18,,,,,,,,,
17094,M,60技捞惑,210,,,,,,,6,18,,,,,,,,,
17120,F,25技~29技,100,0,0,0,0,0,0,6,18,,,,,,,,,
17168,F,40技~44技,500,,0,0,,0,0,6,18,,,,,,,,,
17195,M,50技~54技,100,,,,,,,6,18,,,,,,,,,
17241,F,20技~24技,570,0,0,0,0,0,,6,18,,,,,,,,,
17246,M,55技~59技,460,0,0,0,0,,,6,18,,,,,,,,,
17277,F,60技捞惑,500,,,,,,0,6,18,,,,,,,,,
17365,F,45技~49技,100,0,0,0,0,,,6,18,,,,,,,,,
17382,M,30技~34技,460,,,0,,0,,6,18,,,,,,,,,
17432,F,25技~29技,460,0,0,,,,0,6,18,,,,,,,,,
17454,M,50技~54技,100,,,,,,,6,18,,,,,,,,,
17464,F,40技~44技,460,,0,0,0,,0,6,18,,,,,,,,,
17466,F,25技~29技,300,,0,,,0,0,6,18,,,,,,,,,
17500,F,30技~34技,87,0,0,,0,0,,6,18,,,,,,,,,
17526,M,45技~49技,75,,,,,,,6,18,,,,,,,,,
17528,F,25技~29技,24,0,0,0,0,0,0,6,18,,,,,,,,,
17650,M,40技~44技,100,,,,,,,6,18,,,,,,,,,
17730,F,50技~54技,460,0,0,0,0,,,6,18,,,,,,,,,
17884,F,20技~24技,610,0,0,0,0,0,0,6,18,,,,,,,,,
17892,M,55技~59技,100,0,,,,,,6,18,,,,,,,,,
17893,F,45技~49技,100,0,0,,,,0,6,18,,,,,,,,,
17947,M,45技~49技,500,,,,,,,6,18,,,,,,,,,
17965,F,20技~24技,540,,,,0,,,6,18,,,,,,,,,
17990,F,25技~29技,27,0,,,0,0,,6,18,,,,,,,,,
18002,F,20技~24技,24,,0,,0,,,6,18,,,,,,,,,
18068,M,50技~54技,60,,,,,,,6,18,,,,,,,,,
18154,F,20技~24技,87,,0,,0,0,,6,18,,,,,,,,,
18224,M,20技~24技,100,,,0,0,0,,6,18,,,,,,,,,
18356,M,45技~49技,570,,,,,,,6,18,,,,,,,,,
18383,M,30技~34技,210,0,0,0,0,0,0,6,18,,,,,,,,,
18534,M,45技~49技,460,,,,,,,6,18,,,,,,,,,
18535,M,55技~59技,100,,,0,0,0,0,6,18,,,,,,,,,
18604,F,50技~54技,100,0,,0,,,,6,18,,,,,,,,,
18616,M,35技~39技,340,,,,0,0,,6,18,,,,,,,,,
18623,M,40技~44技,100,0,0,,,,0,6,18,,,,,,,,,
18624,M,35技~39技,100,0,,0,,0,,6,18,,,,,,,,,
18644,M,55技~59技,100,,,,,,0,6,18,,,,,,,,,
18648,M,50技~54技,100,,,0,0,0,0,6,18,,,,,,,,,
18682,M,50技~54技,65,,,,0,,0,6,18,,,,,,,,,
18729,F,45技~49技,460,,0,0,0,,,6,18,,,,,,,,,
18753,F,20技~24技,460,0,0,0,0,0,0,6,18,,,,,,,,,
18761,M,35技~39技,27,,,,,,0,6,18,,,,,,,,,
18821,F,40技~44技,75,0,0,0,0,0,0,6,18,,,,,,,,,
18895,F,20技~24技,16,0,0,,0,0,0,6,18,,,,,,,,,
18960,M,40技~44技,47,0,0,0,,,,6,18,,,,,,,,,
19054,F,60技捞惑,55,0,0,0,0,0,0,6,18,,,,,,,,,
19055,F,40技~44技,500,0,0,0,0,0,0,6,18,,,,,,,,,
19063,M,40技~44技,270,,,,0,,0,6,18,,,,,,,,,
19093,F,30技~34技,270,0,,,0,,,6,18,,,,,,,,,
19094,F,20技~24技,100,,,,,,,6,18,,,,,,,,,
19118,M,55技~59技,210,,,,,,0,6,18,,,,,,,,,
19137,F,25技~29技,100,0,0,,,0,0,6,18,,,,,,,,,
19150,F,19技捞窍,610,,0,,,,0,6,18,,,,,,,,,
19151,F,20技~24技,100,0,0,0,0,0,0,6,18,,,,,,,,,
19167,M,50技~54技,100,,,,,,,6,18,,,,,,,,,
19188,M,25技~29技,540,0,0,0,0,0,,6,18,,,,,,,,,
19209,F,50技~54技,24,,,,,,0,6,18,,,,,,,,,
19212,F,50技~54技,55,,,,,,,6,18,,,,,,,,,
19221,F,50技~54技,100,,0,0,0,0,,6,18,,,,,,,,,
19222,M,35技~39技,55,,,0,,0,0,6,18,,,,,,,,,
19225,F,45技~49技,60,,,,,,,6,18,,,,,,,,,
19229,F,50技~54技,24,,,,,,,6,18,,,,,,,,,
19230,M,55技~59技,60,,,,,,,6,18,,,,,,,,,
19232,M,50技~54技,500,,0,,,,0,6,18,,,,,,,,,
19240,F,35技~39技,16,,,,,,,6,18,,,,,,,,,
19294,M,60技捞惑,460,,,,,,,6,18,,,,,,,,,
19296,M,25技~29技,100,0,0,0,0,0,0,6,18,,,,,,,,,
19334,M,35技~39技,310,0,0,,0,0,0,6,18,,,,,,,,,
19341,F,20技~24技,47,0,0,0,0,0,0,6,18,,,,,,,,,
19344,M,25技~29技,100,,0,,0,0,0,6,18,,,,,,,,,
15,F,60技捞惑,24,0,0,0,0,1,0,5,17,,,,,,,,,
105,M,60技捞惑,100,1,0,0,0,0,0,5,17,,,,,,,,,
208,F,60技捞惑,100,1,0,0,,0,0,5,17,,,,,,,,,
668,F,60技捞惑,100,,,0,,,1,5,17,,,,,,,,,
834,F,55技~59技,55,1,0,0,0,0,0,5,17,,,,,,,,,
905,F,55技~59技,460,1,,0,,,,5,17,,,,,,,,,
988,M,55技~59技,33,,,0,1,,0,5,17,,,,,,,,,
1007,F,55技~59技,610,0,0,0,0,0,1,5,17,,,,,,,,,
1074,F,55技~59技,16,0,0,,0,1,0,5,17,,,,,,,,,
1192,F,55技~59技,270,0,,,0,0,1,5,17,,,,,,,,,
1323,F,55技~59技,100,0,1,0,0,0,0,5,17,,,,,,,,,
1634,F,55技~59技,55,0,,,,,1,5,17,,,,,,,,,
1746,F,55技~59技,100,1,,,0,0,0,5,17,,,,,,,,,
1761,F,55技~59技,49,0,,,1,0,0,5,17,,,,,,,,,
1937,F,50技~54技,27,0,0,0,,,1,5,17,,,,,,,,,
2194,F,50技~54技,16,,,0,,1,,5,17,,,,,,,,,
2261,F,50技~54技,500,0,0,0,1,0,0,5,17,,,,,,,,,
2600,F,50技~54技,100,0,0,1,0,0,0,5,17,,,,,,,,,
3041,M,50技~54技,410,0,1,0,,,0,5,17,,,,,,,,,
3224,F,50技~54技,49,0,1,0,0,0,0,5,17,,,,,,,,,
3542,M,45技~49技,360,0,1,0,0,0,,5,17,,,,,,,,,
3753,F,45技~49技,360,1,,,0,0,0,5,17,,,,,,,,,
4342,F,45技~49技,55,1,0,0,0,0,0,5,17,,,,,,,,,
4759,F,45技~49技,52,0,0,0,1,0,0,5,17,,,,,,,,,
4789,M,45技~49技,460,1,,0,,0,0,5,17,,,,,,,,,
4813,F,45技~49技,100,0,0,0,0,0,1,5,17,,,,,,,,,
4819,F,45技~49技,310,0,0,1,,0,0,5,17,,,,,,,,,
4928,M,45技~49技,49,1,0,0,0,0,0,5,17,,,,,,,,,
5069,F,45技~49技,16,0,0,1,0,0,0,5,17,,,,,,,,,
5608,F,45技~49技,540,,,1,0,,0,5,17,,,,,,,,,
5673,F,45技~49技,100,0,0,0,1,0,0,5,17,,,,,,,,,
5923,M,40技~44技,500,,,,,0,1,5,17,,,,,,,,,
5990,F,40技~44技,100,0,0,0,0,1,0,5,17,,,,,,,,,
6115,F,40技~44技,75,0,1,0,0,0,0,5,17,,,,,,,,,
6868,M,40技~44技,33,0,0,0,,0,1,5,17,,,,,,,,,
7259,M,40技~44技,100,0,0,0,1,0,0,5,17,,,,,,,,,
7401,F,40技~44技,100,0,0,0,0,0,1,5,17,,,,,,,,,
7552,M,40技~44技,100,0,0,0,0,0,1,5,17,,,,,,,,,
7600,M,40技~44技,55,0,1,0,0,0,,5,17,,,,,,,,,
7615,M,40技~44技,460,0,0,1,0,0,0,5,17,,,,,,,,,
7651,F,40技~44技,100,0,0,1,0,0,0,5,17,,,,,,,,,
7681,F,40技~44技,49,1,0,0,0,0,0,5,17,,,,,,,,,
7778,F,40技~44技,240,0,0,0,0,0,1,5,17,,,,,,,,,
8065,F,35技~39技,100,,,0,0,0,1,5,17,,,,,,,,,
8106,F,35技~39技,610,0,0,0,0,1,0,5,17,,,,,,,,,
8138,F,35技~39技,610,0,1,0,0,0,,5,17,,,,,,,,,
8373,F,35技~39技,340,1,0,0,0,0,0,5,17,,,,,,,,,
8421,F,35技~39技,100,0,0,1,0,0,,5,17,,,,,,,,,
8455,M,35技~39技,210,0,0,1,0,0,0,5,17,,,,,,,,,
8570,F,35技~39技,55,1,,,,0,,5,17,,,,,,,,,
8677,F,35技~39技,100,1,,,,,,5,17,,,,,,,,,
8685,F,35技~39技,500,,,,,1,0,5,17,,,,,,,,,
8839,F,35技~39技,60,0,0,0,0,0,1,5,17,,,,,,,,,
8888,F,35技~39技,47,0,0,0,1,0,0,5,17,,,,,,,,,
9137,F,35技~39技,100,1,0,,0,0,0,5,17,,,,,,,,,
9232,F,35技~39技,610,,0,0,1,,0,5,17,,,,,,,,,
9269,F,35技~39技,500,0,0,0,1,0,0,5,17,,,,,,,,,
9455,F,30技~34技,87,,0,1,0,0,0,5,17,,,,,,,,,
9643,F,30技~34技,610,0,0,1,0,0,0,5,17,,,,,,,,,
9737,F,30技~34技,210,0,0,0,1,0,0,5,17,,,,,,,,,
9972,F,40技~44技,540,0,,,,0,1,5,17,,,,,,,,,
10082,F,40技~44技,24,,1,0,,,,5,17,,,,,,,,,
10195,F,40技~44技,100,0,1,,0,0,0,5,17,,,,,,,,,
10359,F,45技~49技,16,0,,1,0,0,0,5,17,,,,,,,,,
10430,F,40技~44技,100,0,1,0,0,0,0,5,17,,,,,,,,,
10859,M,55技~59技,100,,,,,1,0,5,17,,,,,,,,,
10921,F,25技~29技,460,0,0,0,0,1,0,5,17,,,,,,,,,
10977,F,40技~44技,100,0,1,0,0,0,0,5,17,,,,,,,,,
11051,M,30技~34技,100,1,0,,,0,,5,17,,,,,,,,,
11129,M,35技~39技,460,,,1,,0,,5,17,,,,,,,,,
11227,M,40技~44技,570,,,0,0,1,,5,17,,,,,,,,,
11271,F,55技~59技,210,0,0,0,0,0,1,5,17,,,,,,,,,
11287,F,55技~59技,440,1,0,0,0,0,0,5,17,,,,,,,,,
11308,F,20技~24技,13,,,,1,0,0,5,17,,,,,,,,,
11401,F,45技~49技,100,0,0,0,0,0,1,5,17,,,,,,,,,
11690,F,45技~49技,270,0,0,0,0,0,1,5,17,,,,,,,,,
11708,F,40技~44技,610,1,0,0,0,0,0,5,17,,,,,,,,,
12141,F,25技~29技,60,0,0,1,0,0,0,5,17,,,,,,,,,
12308,M,50技~54技,310,0,0,0,0,0,1,5,17,,,,,,,,,
12356,F,30技~34技,100,0,,0,0,0,1,5,17,,,,,,,,,
12393,F,25技~29技,100,0,0,1,0,0,0,5,17,,,,,,,,,
12403,F,30技~34技,55,,0,0,,,1,5,17,,,,,,,,,
12530,F,60技捞惑,79,1,0,0,0,0,,5,17,,,,,,,,,
12818,F,40技~44技,610,0,0,,0,1,0,5,17,,,,,,,,,
12892,M,50技~54技,60,0,0,0,1,0,0,5,17,,,,,,,,,
12923,F,35技~39技,460,,,1,,0,,5,17,,,,,,,,,
13126,F,40技~44技,340,0,0,1,0,0,,5,17,,,,,,,,,
13592,F,40技~44技,100,0,0,0,0,0,1,5,17,,,,,,,,,
13617,F,35技~39技,72,,,1,0,,,5,17,,,,,,,,,
13633,F,50技~54技,630,0,0,1,0,0,0,5,17,,,,,,,,,
13735,M,50技~54技,610,,1,0,,0,,5,17,,,,,,,,,
13780,M,40技~44技,39,0,,0,0,0,1,5,17,,,,,,,,,
13983,M,50技~54技,610,0,,1,,,,5,17,,,,,,,,,
13992,F,55技~59技,100,1,,0,,0,0,5,17,,,,,,,,,
14170,F,45技~49技,100,0,0,1,0,0,0,5,17,,,,,,,,,
14366,F,30技~34技,100,,0,0,0,1,,5,17,,,,,,,,,
14388,F,20技~24技,210,0,0,0,0,0,1,5,17,,,,,,,,,
14432,M,30技~34技,610,0,0,1,0,0,0,5,17,,,,,,,,,
14571,F,25技~29技,52,1,0,0,,0,0,5,17,,,,,,,,,
14626,M,50技~54技,540,1,,,0,,,5,17,,,,,,,,,
14673,M,45技~49技,610,0,,,0,1,,5,17,,,,,,,,,
14706,F,45技~49技,13,0,0,1,0,0,0,5,17,,,,,,,,,
14891,F,25技~29技,460,1,0,,0,0,0,5,17,,,,,,,,,
15109,F,25技~29技,100,,,1,,0,0,5,17,,,,,,,,,
15510,F,35技~39技,100,0,0,1,0,0,0,5,17,,,,,,,,,
15943,M,25技~29技,270,1,0,,0,0,0,5,17,,,,,,,,,
16356,F,40技~44技,100,0,0,1,0,0,0,5,17,,,,,,,,,
16486,F,20技~24技,52,0,1,0,0,0,0,5,17,,,,,,,,,
16807,F,60技捞惑,100,0,0,1,0,0,0,5,17,,,,,,,,,
16958,F,55技~59技,100,0,0,0,0,0,1,5,17,,,,,,,,,
17309,F,20技~24技,100,0,0,0,0,0,1,5,17,,,,,,,,,
17323,F,35技~39技,240,1,0,0,,0,0,5,17,,,,,,,,,
17357,M,40技~44技,100,,,,,,1,5,17,,,,,,,,,
17489,F,45技~49技,100,0,1,0,0,0,0,5,17,,,,,,,,,
17841,F,50技~54技,60,0,,,0,0,1,5,17,,,,,,,,,
18057,F,20技~24技,20,1,0,0,0,0,,5,17,,,,,,,,,
18074,F,35技~39技,460,0,1,0,0,0,0,5,17,,,,,,,,,
18323,F,25技~29技,100,,,,,,1,5,17,,,,,,,,,
18360,F,45技~49技,410,0,0,0,0,0,1,5,17,,,,,,,,,
