"","V1","V2","V3"
"00312","C070201","C070202","C130301"
"00313","A010631","B470104","A090201"
"00314","A010402","A010404","A010403"
"00315","A010401","A010302","A010404"
"00316","A010644","A010201","C030401"
"00317","A010302","A010404","A010401"
"00318","A010403","A010401","A010201"
"00319","A010302","A010402","A040502"
"00320","A040224","A010613","A010644"
"00321","C170701","A010403","A040224"
"00322","B100301","B100306","A010613"
"00323","A010304","A020302","A060202"
"00324","A010302","A010101","A010608"
"00325","A010302","A010403","A010608"
"00326","A010631","B670403","A010402"
"00327","A010401","A060202","A010644"
"00328","A040302","A040502","A030109"
"00329","A010401","A010613","A010402"
"00330","B210802","B470104","B890103"
"00331","B470104","B100305","B100504"
"00332","A010403","C120202","A010404"
"00333","C060504","B100504","A010404"
"00334","A040902","A010604","A010402"
"00335","A040222","A040224","A010402"
"00336","B100305","B050901","B050117"
"00337","A060201","A010401","A010501"
"00338","B200801","B150102","B100402"
"00339","B210802","B210107","B160402"
"00340","A010613","A040224","A010619"
"00341","A010403","A010627","A010631"
"00342","B100502","B790403","B540201"
"00343","A010613","A010401","A010402"
"00344","A010403","A010501","A010402"
"00345","A010803","A010644","A010401"
"00346","A010710","A010302","A010404"
"00347","A010103","A020302","B150102"
"00348","C030401","C070203","C040601"
"00349","A011004","A010201","A010608"
"00350","A010653","A010403","A010613"
"00351","A010403","A010710","A020302"
"00352","A040502","A040302","A080103"
"00353","B100501","B100305","B670402"
"00354","B100503","B150102","B210802"
"00355","A010644","A010619","A010604"
"00356","A010644","A060114","A040224"
"00357","C070101","C070202","C010206"
"00358","A020302","A060203","A010302"
"00359","B100501","B100502","B100305"
"00360","B100502","B650202","B530401"
"00361","A080125","A010644","A010404"
"00362","B100305","B140103","B100301"
"00363","A010302","A010401","A010404"
"00364","B100301","B100306","B100504"
"00365","A010403","B200801","B200302"
"00366","B740501","B100703","B380401"
"00367","A010402","C170701","A010403"
"00368","C170206","B210802","A010653"
"00369","A010613","A030101","A060202"
"00370","B100504","B100101","B100305"
"00371","B100305","B080203","B200801"
"00372","B100305","B100406","B100402"
"00373","A010613","A080106","A010302"
"00374","A010501","A010402","A010644"
"00375","A040302","A010613","A040214"
"00376","C110203","A010601","B150402"
"00377","A010402","A010401","A010644"
"00378","A030109","A010801","A010607"
"00379","A010302","A010604","A010608"
"00380","C070101","C030401","C010101"
"00381","A010401","A010902","A010101"
"00382","A010402","A010404","A010401"
"00383","A010401","A060203","A020302"
"00384","B100305","B100504","B100502"
"00385","B150102","B740101","B100701"
"00386","A010401","A010630","A010101"
"00387","A010403","C070202","C010110"
"00388","A080103","A010603","A010606"
"00389","B050117","B200302","B380303"
"00390","B050117","B050901","B100305"
"00391","A020302","A060203","B200602"
"00392","A010653","A010613","B210107"
"00393","A010401","A011004","A040224"
"00394","A010404","A010608","A010302"
"00395","B140103","B210802","B140101"
"00396","A010302","A010404","A010401"
"00397","B140102","B140103","B010207"
"00398","A010501","A010403","A010605"
"00399","A080103","A040902","A020302"
"00400","A010403","A010302","A010404"
"00401","A040503","A030109","A040217"
"00402","A010403","A010402","A010902"
"00403","B100504","B430101","B100301"
"00404","A090606","A010402","A010403"
"00405","A010402","A010710","A010403"
"00406","B430101","B100301","B380303"
"00407","A010403","A010401","A020302"
"00408","A060204","A010401","A080106"
"00409","A040502","A020302","A010201"
"00410","B100301","B140202","B760202"
"00411","A010401","A010402","A010302"
"00412","C120101","C030901","A010402"
"00413","A010613","A010402","A010404"
"00414","A010401","A040902","A040224"
"00415","B270301","B130501","B150601"
"00416","A040601","A010302","A090101"
"00417","A090102","A010613","A040501"
"00418","B200801","B290301","B470104"
"00419","A010402","A010401","A010501"
"00420","A010624","C070101","A010302"
"00421","A010627","A010302","A010644"
"00422","A010644","A010613","A011004"
"00423","A010402","A010401","A010302"
"00424","C120101","C120601","C130302"
"00425","B100305","B300301","B050112"
"00426","A010403","A010302","A010201"
"00427","A010401","A010402","A010644"
"00428","A010404","A010402","A010302"
"00429","A040902","A010401","A010501"
"00430","A040902","A010302","A010501"
"00431","A010508","A040224","A090101"
"00432","A010403","A010402","A010401"
"00433","A010601","A010644","A060114"
"00434","A010402","A010401","A010404"
"00435","A010401","A010403","A040503"
"00436","A010614","A010644","A040601"
"00437","C030401","C070203","C070202"
"00438","A010603","A010606","B050501"
"00439","C170206","C170701","C070101"
"00440","A010404","A010201","A010402"
"00441","A060114","A010644","A090403"
"00442","B100301","B200801","B670402"
"00443","A040902","A010613","A010403"
"00444","A010601","A010401","A010403"
"00445","B080601","B140103","B140201"
"00446","B210802","B020102","B210107"
"00447","A010401","A010501","A010619"
"00448","A040302","A040902","A010403"
"00449","A010644","B630802","B380303"
"00450","A010644","A040902","A010401"
"00451","A090201","A010627","A010644"
"00452","C030901","C170701","C030401"
"00453","A010403","A010402","A040224"
"00454","B100502","B100305","B100504"
"00455","C120101","A010710","C080304"
"00456","C110203","C170701","C060402"
"00457","C030401","C130301","C070202"
"00458","B100502","B100504","B380406"
"00459","A010101","A010401","A010302"
"00460","A010403","A010402","A010401"
"00461","A010403","A010613","A010402"
"00462","A040902","A010302","A010402"
"00463","A010201","A010402","A020302"
"00464","B210802","B210107","B900103"
"00465","B050117","B210802","B020102"
"00466","A010302","A010404","A010402"
"00467","B100305","A011004","C070101"
"00468","A010402","A010608","A010201"
"00469","A010302","A010601","A010401"
"00470","B050101","B210802","C030401"
"00471","A011004","A010401","A010646"
"00472","B100305","B100504","B140102"
"00473","B100305","B160101","B140103"
"00474","A040302","B140104","B210802"
"00475","B100501","B100503","B100502"
"00476","C030401","C010206","C030308"
"00477","A020302","A090101","A040601"
"00478","A010403","A020302","A020701"
"00479","A010401","B140103","B430402"
"00480","A020302","A010644","A010403"
"00481","A010613","A011004","A010302"
"00482","C110101","B150202","B820203"
"00483","A010302","A010401","A010402"
"00484","A010403","A010402","A010201"
"00485","A040214","A011004","A010646"
"00486","A010401","A010201","A010402"
"00487","B100504","B380303","B380404"
"00488","C120101","C030401","C030404"
"00489","A010403","C170206","A010902"
"00490","A010401","A010404","A010501"
"00491","C060402","C060503","C070101"
"00492","A040502","A010402","A010401"
"00493","B100305","B160202","B150601"
"00494","A010403","A010302","A020306"
"00495","C070202","C070101","C070102"
"00496","A010404","A010302","A010403"
"00497","B100504","B100301","B200801"
"00498","B100504","B740101","B100301"
"00499","B300301","B300402","B140103"
"00500","C170206","A010302","C030401"
"00501","A020302","A010644","A010801"
"00502","C170206","A010404","A010302"
"00503","C030901","C030401","A010403"
"00504","A010644","A090101","A060201"
"00505","B210802","A080103","B100502"
"00506","B100305","B740101","A040302"
"00507","A010403","A010203","A010302"
"00508","A010401","A010402","A010501"
"00509","A010401","A010402","A010302"
"00510","A010501","A010401","A010613"
"00511","B050901","B050117","B051005"
"00512","B740102","B100504","B100305"
"00513","A010613","A010401","A010627"
"00514","B100301","B100306","B140203"
"00515","A010403","A010401","A010402"
"00516","B100502","B150102","A010613"
"00517","A010901","A010904","A010402"
"00518","A010604","A020302","A010402"
"00519","A040901","A010644","A010623"
"00520","A010401","A010644","A010501"
"00521","B210802","A020302","B890102"
"00522","A040224","B100301","B100305"
"00523","C030404","C050205","C030202"
"00524","B140101","B150402","A010613"
"00525","A010644","A010302","A010902"
"00526","C070203","C070102","A010403"
"00527","C120601","C120101","C120501"
"00528","B100501","B100503","B110601"
"00529","A040302","A040503","A010201"
"00530","A011004","A010902","A010620"
"00531","A030109","A010902","A020302"
"00532","A010627","A010501","A010402"
"00533","B100305","B200801","B380406"
"00534","A010613","A010401","A010201"
"00535","A060114","A020302","A080106"
"00536","A011004","A010902","A010408"
"00537","B100305","B740101","B100503"
"00538","A010403","A010401","A010402"
"00539","A010404","A010402","A010401"
"00540","A010302","A010401","A010402"
"00541","A010613","B100301","B100504"
"00542","A010604","A010403","A010710"
"00543","A010201","A010302","A010402"
"00544","A010403","A010302","A010501"
"00545","A020303","A010402","A090201"
"00546","A010403","A010602","A010401"
"00547","B470202","B890103","B120201"
"00548","A020116","A010605","A020102"
"00549","A010402","A010401","A010403"
"00550","A090201","A010403","A010602"
"00551","B050503","B380303","B140103"
"00552","A010403","A010602","A090404"
"00553","A010403","A010302","A010404"
"00554","A020302","A040222","A020303"
"00555","B100504","A060114","B150101"
"00556","B100305","B100504","B140101"
"00557","B100305","B480401","B470104"
"00558","A010404","A010302","A010401"
"00559","A010403","A010710","A010501"
"00560","A040302","A060114","A040401"
"00561","C170206","A010401","A010501"
"00562","A040214","A010402","A010401"
"00563","B670402","B050502","B140102"
"00564","A010402","A010401","A010902"
"00565","A010630","A040302","A010403"
"00566","A010302","A010404","A010644"
"00567","A010606","A011001","B010108"
"00568","C170701","C060206","C070202"
"00569","A010302","A010404","A010402"
"00570","C070101","C030703","C030206"
"00571","A010302","A010401","A010403"
"00572","A090101","A090102","A010602"
"00573","B210802","B380404","B430803"
"00574","A010644","B140103","A020302"
"00575","A010613","B100502","A010403"
"00576","A010613","A010644","A060202"
"00577","A010201","A010302","A010613"
"00578","A020302","A040902","A010644"
"00579","B160101","B160201","B740102"
"00580","A010630","A010302","A010602"
"00581","C070101","A010302","A010401"
"00582","A010302","A010902","A010501"
"00583","B160201","B160402","B150102"
"00584","A010401","A010613","A010402"
"00585","A040902","A040302","A010644"
"00586","A010404","A040902","A010402"
"00587","A010302","A010402","A010401"
"00588","C170206","C060504","C170701"
"00589","A010401","A060114","A010202"
"00590","A010302","A010103","C170701"
"00591","C070101","C070202","C170701"
"00592","A010402","A010401","C030401"
"00593","A040503","A010644","A010201"
"00594","A040902","A060203","A010644"
"00595","A010302","A010606","A020302"
"00596","A010402","A010608","A010403"
"00597","A040224","A010403","A020302"
"00598","A011004","A010302","C070102"
"00599","C070102","A060114","C030901"
"00600","B100305","B210802","B270301"
"00601","A040209","A040224","A040208"
"00602","A010401","A010644","A020302"
"00603","A010403","A010402","A040224"
"00604","A010403","A010401","A010402"
"00605","C070101","C170701","C110203"
"00606","A010613","A040224","A030103"
"00607","A010403","A010401","A010404"
"00608","A010644","B100501","A010613"
"00609","B100305","B670402","B430601"
"00610","A010403","A010402","A010501"
"00611","A020302","A010402","A011004"
"00612","A010403","A010201","A010404"
"00613","C070201","A040224","C110101"
"00614","A010401","A010302","A010402"
"00615","A010404","A010302","A010608"
"00616","B050117","B100305","B160402"
"00617","A040214","A010402","B160401"
"00618","A010302","A010404","A010402"
"00619","C070101","C040601","C030901"
"00620","A020302","A040902","A010710"
"00621","B050117","B160101","B160201"
"00622","B080601","A010403","C070202"
"00623","B200801","B160402","B140201"
"00624","B100301","B100504","B100306"
"00625","A011004","A010620","A010101"
"00626","B210802","B430101","B200801"
"00627","A040224","A010613","A010627"
"00628","C010101","C060406","C030701"
"00629","B100301","B100306","B210802"
"00630","A010403","A010302","A010404"
"00631","A060114","A040302","A060166"
"00632","A010401","A010606","A010402"
"00633","A020303","A010201","A040209"
"00634","A010401","A010302","A010613"
"00635","A010401","A080103","A010201"
"00636","A010902","A010302","A010402"
"00637","A040302","B100305","A060114"
"00638","A010403","A010401","A040601"
"00639","C170701","A010404","C030401"
"00640","A040902","A010302","A010201"
"00641","A020302","A010403","A010401"
"00642","A010302","A010403","A010401"
"00643","A010401","A010402","A010653"
"00644","A010401","C070101","C030401"
"00645","A080103","A060203","A030113"
"00646","B140203","B100702","B100504"
"00647","C120101","C120601","C070102"
"00648","A050501","A010401","A010403"
"00649","A010902","A010302","A020303"
"00650","B160201","B100305","B520204"
"00651","A020302","A010606","A011004"
"00652","A040502","A020302","A090103"
"00653","B210802","B100305","B210107"
"00654","A010403","A010302","A010401"
"00655","B100305","B150102","B100504"
"00656","A010401","A060114","A010403"
"00657","A040902","A010401","A010608"
"00658","A010302","A010401","A010404"
"00659","B210802","B210107","B100301"
"00660","C110101","C030401","C070103"
"00661","B210802","B210107","A040601"
"00662","B140101","B200801","B900103"
"00663","C150101","C110101","C170159"
"00664","A011004","A040902","A010646"
"00665","B380203","B100305","B100502"
"00666","C120501","C120101","C120601"
"00667","A010631","A010613","A010603"
"00668","C070202","C170401","C170420"
"00669","A010501","A010404","A010402"
"00670","A040302","C170701","C030901"
"00671","B100305","C070101","B200801"
"00672","A010401","A010644","A010402"
"00673","A040224","A020302","A010401"
"00674","A090101","A040224","A010603"
"00675","A010613","B100501","B100502"
"00676","A060203","A040215","A060201"
"00677","A010613","B140101","B140103"
"00678","B920509","B100305","B521301"
"00679","C170206","C040601","C030401"
"00680","A010401","B100502","B140101"
"00681","A010402","A010101","A010401"
"00682","B100504","B100301","B100306"
"00683","B100305","B150102","B160402"
"00684","A010302","A010401","A011004"
"00685","C110101","C070101","C060504"
"00686","C070101","A020302","A010302"
"00687","A010103","A010501","A010402"
"00688","C120101","C120601","B160101"
"00689","A060114","A010401","A010103"
"00690","A010302","A010647","A010608"
"00691","A040224","A010402","A010404"
"00692","B100305","B140102","B140101"
"00693","A010302","A010401","A010403"
"00694","A010401","A010404","A010402"
"00695","A010401","A010402","A010601"
"00696","A010401","A010602","A010613"
"00697","A010902","A011001","A020302"
"00698","A010302","A080103","A010402"
"00699","C120201","C160920","C170206"
"00700","C010206","C030401","C030210"
"00701","A010401","A010302","A010501"
"00702","B670402","B210802","B140202"
"00703","A040302","A060114","A010602"
"00704","A010302","A010402","A010403"
"00705","B100305","B051002","B100101"
"00706","B100305","B140103","B200801"
"00707","A010401","A010404","A010601"
"00708","A010302","A090101","A010402"
"00709","A010402","A010403","A010401"
"00710","B650202","B100301","B530401"
"00711","A010644","A010403","A010613"
"00712","A010401","A010501","A011004"
"00713","A040302","A060114","A010101"
"00714","B100502","B160402","B100305"
"00715","A010401","A040215","A010403"
"00716","B100301","A010401","B050117"
"00717","A020302","A030109","A020303"
"00718","A010302","A010402","A010401"
"00719","B100305","B050901","B050117"
"00720","B050503","B150102","B480401"
"00721","B150402","B100305","B910201"
"00722","B100504","B430302","B431003"
"00723","B430101","B520503","B050501"
"00724","B740101","B140101","B670402"
"00725","B100301","B210802","B100306"
"00726","B900102","A010613","B170103"
"00727","A010403","A010401","A010402"
"00728","A040302","A090101","A010401"
"00729","A010403","A010401","A010710"
"00730","B160202","B530401","B020104"
"00731","B380303","B010106","B050503"
"00732","A040302","A041003","A010613"
"00733","A010401","A010604","B100306"
"00734","B100305","B470302","B480401"
"00735","A010401","A040902","A020302"
"00736","A040902","A010710","A010403"
"00737","A040224","A010401","A010613"
"00738","B920509","B530401","B150601"
"00739","B160401","B430602","B670402"
"00740","B210802","B210107","B050117"
"00741","B100504","B150102","B100301"
"00742","A011004","A010710","A010401"
"00743","B150404","B140103","B100502"
"00744","C070101","C030703","B050502"
"00745","A010403","A010401","C030901"
"00746","A040220","A040302","A060103"
"00747","A020302","A010601","A010602"
"00748","A030109","A060114","A060202"
"00749","B100305","B100104","B150601"
"00750","B300301","B100301","B470105"
"00751","C070101","C110204","C080201"
"00752","A020105","A020103","A020302"
"00753","C090101","C080301","C080101"
"00754","A040401","A010644","A020306"
"00755","B140101","B150402","B140103"
"00756","C070101","C030401","C030206"
"00757","A010401","A010403","A010645"
"00758","A020302","A030109","A040601"
"00759","A010403","A010401","A010501"
"00760","B740502","B100701","B140103"
"00761","C030401","C010206","C030404"
"00762","C030404","C070201","C070101"
"00763","A010403","A010202","A010401"
"00764","A010401","A010402","A010405"
"00765","A010201","A010403","A010402"
"00766","B100305","B160402","B160101"
"00767","C070101","C030401","C030901"
"00768","A010302","A010101","A040224"
"00769","B100305","A010403","B050117"
"00770","A010401","A080125","A010404"
"00771","A010403","A010630","A010202"
"00772","A040224","A010404","A010644"
"00773","A010302","A010644","A010608"
"00774","A010401","A010613","A011004"
"00775","C110101","C010101","A040502"
"00776","B100301","B890102","B100305"
"00777","A010302","A010630","C070103"
"00778","B100301","B050117","B100306"
"00779","B150104","A010644","A020302"
"00780","A040224","B150102","A010613"
"00781","A010302","A010613","A060114"
"00782","C110101","C170701","C030602"
"00783","A010403","A010402","A060203"
"00784","A010653","A010607","A010627"
"00785","A010401","A040224","A010302"
"00786","A010630","A040302","A010401"
"00787","A010402","A010403","A010401"
"00788","C030401","C070102","C070103"
"00789","A010403","A010613","A010601"
"00790","B160201","B100305","B200801"
"00791","C070101","C110401","C070202"
"00792","A010646","A010801","A010401"
"00793","C070101","C030401","C140501"
"00794","A010402","A060202","A010404"
"00795","A010613","A010401","A010302"
"00796","B100305","B160201","B200801"
"00797","A010302","A010501","A010401"
"00798","C120501","C070103","C070101"
"00799","A010607","A010402","A010401"
"00800","A020302","C070202","B050117"
"00801","A010302","A010404","A040902"
"00802","A010613","B380303","B050117"
"00803","A010803","A011003","A010710"
"00804","C120501","C030401","C060503"
"00805","C070101","C010206","C080201"
"00806","A010710","A010401","A010402"
"00807","A010401","A010402","A010608"
"00808","A010201","A010401","A010302"
"00809","B100305","B100104","B100406"
"00810","A010613","A040902","A020302"
"00811","A010401","A040302","A010201"
"00812","A010710","A020302","A010403"
"00813","C110401","C150103","C110501"
"00814","A010403","A060201","A030109"
"00815","A010302","A010401","A010403"
"00816","A010403","A010404","A010402"
"00817","A020302","A010302","A060202"
"00818","B300301","B100305","B210802"
"00819","A010403","A010644","A010401"
"00820","B100305","B150402","B150601"
"00821","C170206","C010206","C070402"
"00822","B100305","B120901","B560302"
